semeval2007.d000.s000.t002 report%2:32:04::
semeval2013.d007.s015.t002 element%1:27:00::
semeval2013.d007.s015.t004 structure%1:07:00::
semeval2013.d007.s016.t000 discovery%1:10:00::
semeval2013.d007.s017.t004 arsenic%1:27:00::
semeval2013.d007.s018.t000 arsenic%1:27:00::
semeval2013.d007.s019.t000 arsenic%1:27:00::
semeval2013.d007.s019.t002 behavior%1:26:00::
semeval2013.d007.s020.t003 element%1:27:00::
semeval2013.d007.s021.t000 arsenic%1:27:00::
semeval2013.d007.s022.t003 arsenic%1:27:00::
semeval2013.d007.s023.t002 arsenic%1:27:00::
semeval2013.d007.s023.t003 possibility%1:26:00::
semeval2013.d007.s023.t005 arsenic%1:27:00::
semeval2013.d007.s023.t008 moon%1:17:00::
semeval2013.d007.s023.t009 arsenic%1:27:00::
semeval2013.d007.s024.t003 arsenic%1:27:00::
semeval2013.d007.s024.t005 example%1:11:00::
semeval2013.d007.s025.t000 arsenic%1:27:00::
semeval2013.d007.s025.t001 time%1:28:05::
semeval2013.d007.s026.t000 way%1:04:01::
semeval2013.d007.s026.t001 life%1:19:00::
semeval2013.d007.s026.t002 life%1:19:00::
semeval2013.d008.s001.t000 support%1:04:00::
semeval2013.d008.s001.t001 democracy%1:14:00::
semeval2013.d008.s003.t002 region%1:15:01::
semeval2013.d008.s004.t000 finding%1:17:00::
semeval2013.d008.s005.t001 change%1:24:00::
semeval2013.d008.s005.t003 region%1:15:01::
semeval2013.d008.s007.t001 mood%1:26:00::
semeval2013.d008.s008.t000 second%1:24:00::
semeval2013.d008.s008.t001 stability%1:07:01::
semeval2013.d008.s008.t003 democracy%1:14:00::
semeval2013.d008.s009.t000 support%1:04:00::
semeval2013.d008.s009.t001 democracy%1:14:00::
semeval2013.d008.s010.t004 support%1:04:00::
semeval2013.d008.s010.t005 democracy%1:14:00::
semeval2013.d008.s010.t006 low%1:07:00::
semeval2013.d008.s011.t002 drop%1:07:00::
semeval2013.d008.s011.t003 output%1:23:00::
semeval2013.d008.s012.t001 respondent%1:18:00::
semeval2013.d008.s012.t006 democrat%1:18:00::
semeval2013.d008.s013.t000 respondent%1:18:00::
semeval2013.d008.s013.t003 democracy%1:14:00::
semeval2013.d008.s013.t005 figure%1:07:01::
semeval2013.d008.s013.t007 increase%1:07:00::
semeval2013.d008.s014.t000 confidence%1:26:02::
semeval2013.d008.s014.t002 congress%1:14:02::
semeval2013.d008.s015.t003 support%1:04:00::
semeval2013.d008.s015.t004 democracy%1:14:00::
semeval2013.d008.s016.t000 world%1:17:00::
semeval2013.d008.s017.t000 addition%1:23:00::
semeval2013.d008.s018.t002 week%1:28:02::
semeval2013.d008.s018.t003 proportion%1:24:01::
semeval2013.d008.s019.t000 mood%1:26:00::
semeval2013.d008.s020.t001 performance%1:22:00::
semeval2013.d008.s020.t003 president%1:18:00::
semeval2013.d008.s021.t001 central_america%1:14:00::
semeval2013.d008.s022.t002 respondent%1:18:00::
semeval2013.d008.s023.t005 figure%1:07:01::
semeval2013.d008.s024.t000 performance%1:22:00::
semeval2013.d008.s024.t001 support%1:04:00::
semeval2013.d008.s024.t004 respondent%1:18:00::
semeval2013.d008.s025.t001 system%1:09:00::
semeval2013.d008.s026.t000 respondent%1:18:00::
semeval2013.d008.s026.t004 president%1:18:00::
semeval2013.d008.s027.t002 leadership%1:09:00::
semeval2013.d008.s027.t004 respondent%1:18:00::
semeval2013.d008.s028.t002 respondent%1:18:00::
semeval2013.d008.s028.t004 central_america%1:14:00::
semeval2013.d008.s028.t006 distinction%1:26:00::
semeval2013.d009.s000.t001 law%1:10:00::
semeval2013.d009.s000.t004 case%1:04:00::
semeval2013.d009.s001.t000 day%1:28:03::
semeval2013.d009.s001.t002 question%1:10:01::
semeval2013.d009.s001.t003 challenge%1:10:01::
semeval2013.d009.s001.t005 law%1:10:00::
semeval2013.d009.s001.t006 justice%1:18:00::
semeval2013.d009.s001.t009 case%1:04:00::
semeval2013.d009.s002.t000 occasion%1:11:01::
semeval2013.d009.s002.t002 justice%1:18:00::
semeval2013.d009.s002.t003 conference%1:10:00::
semeval2013.d009.s002.t005 review%1:04:02::
semeval2013.d009.s003.t000 case%1:04:00::
semeval2013.d009.s003.t001 issue%1:09:00::
semeval2013.d009.s003.t002 suit%1:04:00::
semeval2013.d009.s003.t005 overhaul%1:04:01::
semeval2013.d009.s003.t008 law%1:10:00::
semeval2013.d009.s004.t000 justice%1:18:00::
semeval2013.d009.s004.t001 suit%1:04:00::
semeval2013.d009.s004.t003 argument%1:10:00::
semeval2013.d009.s004.t005 outcome%1:19:00::
semeval2013.d009.s004.t010 decision%1:09:00::
semeval2013.d009.s005.t002 law%1:10:00::
semeval2013.d009.s006.t003 dinner%1:14:00::
semeval2013.d009.s007.t001 dinner%1:14:00::
semeval2013.d009.s007.t002 law%1:10:00::
semeval2013.d009.s008.t001 giant%1:14:00::
semeval2013.d009.s009.t005 conference%1:10:00::
semeval2013.d009.s009.t006 case%1:04:00::
semeval2013.d009.s010.t001 senate%1:14:01::
semeval2013.d009.s010.t002 opponent%1:18:00::
semeval2013.d009.s011.t001 dinner%1:14:00::
semeval2013.d009.s012.t000 justice%1:18:00::
semeval2013.d009.s013.t001 ethic%1:10:00::
semeval2013.d009.s013.t002 rule%1:10:00::
semeval2013.d009.s014.t001 justice%1:18:00::
semeval2013.d009.s014.t004 justice%1:18:00::
semeval2013.d009.s015.t008 program%1:04:00::
semeval2013.d009.s016.t002 case%1:04:00::
semeval2013.d009.s017.t001 ethic%1:10:00::
semeval2013.d009.s017.t002 indifference%1:07:01::
semeval2013.d009.s017.t004 claim%1:10:02::
semeval2013.d009.s017.t005 justice%1:18:00::
semeval2013.d009.s017.t007 rule%1:10:00::
semeval2013.d009.s018.t000 justice%1:18:00::
semeval2013.d009.s018.t001 fundraiser%1:11:00::
semeval2013.d009.s018.t003 case%1:04:00::
semeval2013.d009.s019.t000 appearance%1:04:00::
semeval2013.d009.s019.t003 claim%1:10:02::
semeval2013.d009.s020.t000 regard%1:09:01::
semeval2013.d009.s020.t001 critic%1:18:02::
semeval2013.d009.s020.t002 business%1:09:01::
semeval2013.d009.s022.t000 conservative%1:18:01::
semeval2013.d009.s022.t001 justice%1:18:00::
semeval2013.d009.s023.t001 administration%1:14:00::
semeval2013.d009.s023.t002 challenge%1:10:01::
semeval2013.d009.s023.t003 law%1:10:00::
semeval2013.d009.s024.t000 critic%1:18:02::
semeval2013.d009.s024.t001 case%1:04:00::
semeval2013.d009.s024.t002 law%1:10:00::
semeval2013.d010.s001.t002 game%1:04:03::
semeval2013.d010.s002.t000 side%1:14:00::
semeval2013.d010.s002.t003 game%1:04:03::
semeval2013.d010.s003.t000 contrast%1:09:01::
semeval2013.d010.s003.t004 game%1:04:03::
semeval2013.d010.s003.t005 today%1:28:01::
semeval2013.d010.s003.t006 san_jose%1:15:00::
semeval2013.d010.s004.t001 number_one%1:24:00::
semeval2013.d010.s004.t002 top%1:26:00::
semeval2013.d010.s004.t003 record%1:04:01::
semeval2013.d010.s004.t005 game%1:04:03::
semeval2013.d010.s005.t002 game%1:04:03::
semeval2013.d010.s006.t002 club%1:14:00::
semeval2013.d010.s006.t006 cup%1:06:01::
semeval2013.d010.s006.t007 competition%1:11:00::
semeval2013.d010.s006.t008 shock%1:11:01::
semeval2013.d010.s007.t000 experience%1:11:00::
semeval2013.d010.s008.t002 area%1:26:00::
semeval2013.d010.s008.t003 level%1:26:01::
semeval2013.d010.s009.t000 peak%1:26:00::
semeval2013.d010.s009.t001 selection%1:09:00::
semeval2013.d010.s009.t005 game%1:04:03::
semeval2013.d010.s009.t007 record%1:04:00::
semeval2013.d010.s009.t009 match%1:11:00::
semeval2013.d010.s010.t000 today%1:28:01::
semeval2013.d010.s010.t001 record%1:04:00::
semeval2013.d010.s010.t002 match%1:11:00::
semeval2013.d010.s011.t001 match%1:11:00::
semeval2013.d010.s012.t000 week%1:28:02::
semeval2013.d010.s012.t003 match%1:11:00::
semeval2013.d010.s013.t001 game%1:04:03::
semeval2013.d010.s015.t000 side%1:14:00::
semeval2013.d010.s015.t001 match%1:11:00::
semeval2013.d010.s016.t000 game%1:04:03::
semeval2013.d010.s018.t000 match%1:11:00::
semeval2013.d010.s019.t000 side%1:14:00::
semeval2013.d010.s019.t001 presence%1:04:00::
semeval2013.d010.s021.t000 game%1:04:03::
semeval2013.d010.s022.t001 goal%1:04:00::
semeval2013.d010.s023.t000 point%1:23:01::
semeval2013.d011.s001.t001 policy%1:10:00::
semeval2013.d011.s001.t002 aspect%1:07:02::
semeval2013.d011.s001.t003 congestion%1:26:01::
semeval2013.d011.s001.t006 policy%1:10:00::
semeval2013.d011.s001.t008 compatibility%1:07:00::
semeval2013.d011.s001.t009 policy%1:10:00::
semeval2013.d011.s001.t010 status%1:26:01::
semeval2013.d011.s002.t000 harassment%1:04:00::
semeval2013.d011.s002.t003 talent%1:18:00::
semeval2013.d011.s004.t002 left%1:14:00::
semeval2013.d011.s004.t003 right%1:14:00::
semeval2013.d011.s005.t000 right%1:14:00::
semeval2013.d011.s005.t001 tone%1:26:01::
semeval2013.d011.s005.t006 left%1:14:00::
semeval2013.d011.s005.t008 world%1:17:00::
semeval2013.d011.s007.t000 fear%1:12:01::
semeval2013.d011.s007.t001 invasion%1:11:00::
semeval2013.d011.s007.t002 territory%1:15:01::
semeval2013.d011.s007.t005 left%1:14:00::
semeval2013.d011.s007.t006 right%1:14:00::
semeval2013.d011.s008.t000 side%1:14:00::
semeval2013.d011.s012.t006 world%1:14:01::
semeval2013.d011.s012.t010 impact%1:19:00::
semeval2013.d011.s012.t012 flow%1:26:00::
semeval2013.d011.s013.t001 growth%1:22:02::
semeval2013.d011.s014.t001 impact%1:19:00::
semeval2013.d011.s014.t005 one%1:09:00::
semeval2013.d011.s014.t006 pressure%1:07:00::
semeval2013.d011.s015.t001 reality%1:26:02::
semeval2013.d011.s015.t003 replacement%1:18:02::
semeval2013.d011.s015.t005 trade%1:04:00::
semeval2013.d011.s016.t001 sector%1:14:00::
semeval2013.d011.s016.t003 one%1:09:00::
semeval2013.d011.s016.t004 sector%1:14:00::
semeval2013.d011.s016.t006 offer%1:10:00::
semeval2013.d011.s018.t005 complementarity%1:24:02::
semeval2013.d011.s018.t007 arrival%1:04:01::
semeval2013.d011.s019.t001 flow%1:26:00::
semeval2013.d011.s019.t002 increase%1:07:00::
semeval2013.d011.s020.t006 proportion%1:24:01::
semeval2013.d011.s020.t012 yahoo%1:10:00::
semeval2013.d011.s021.t003 budget%1:21:03::
semeval2013.d011.s022.t000 world%1:17:00::
semeval2013.d011.s022.t003 example%1:11:00::
semeval2013.d011.s022.t008 receipt%1:10:00::
semeval2013.d011.s022.t012 budget%1:21:03::
semeval2013.d011.s023.t001 mandate%1:04:00::
semeval2013.d011.s023.t002 point%1:10:03::
semeval2013.d011.s023.t003 growth%1:22:02::
semeval2013.d011.s024.t000 question%1:10:01::
semeval2013.d012.s000.t000 pound%1:23:01::
semeval2013.d012.s001.t003 pound%1:23:01::
semeval2013.d012.s002.t001 home%1:15:02::
semeval2013.d012.s002.t003 giant%1:14:00::
semeval2013.d012.s002.t004 past%1:28:01::
semeval2013.d012.s002.t009 bankruptcy%1:26:00::
semeval2013.d012.s004.t000 regulator%1:18:00::
semeval2013.d012.s004.t001 string%1:14:00::
semeval2013.d012.s004.t002 bank%1:14:00::
semeval2013.d012.s005.t000 value%1:21:00::
semeval2013.d012.s005.t001 security%1:21:04::
semeval2013.d012.s006.t001 party%1:18:00::
semeval2013.d012.s007.t000 bank%1:14:00::
semeval2013.d012.s007.t002 settlement%1:10:00::
semeval2013.d012.s009.t001 responsiveness%1:07:00::
semeval2013.d012.s009.t002 bank%1:14:00::
semeval2013.d012.s010.t002 bankruptcy%1:26:00::
semeval2013.d012.s010.t004 deposit%1:21:01::
semeval2013.d012.s012.t000 settlement%1:10:00::
semeval2013.d012.s013.t000 regulator%1:18:00::
semeval2013.d012.s013.t001 bank%1:14:00::
semeval2013.d012.s017.t002 height%1:26:00::
semeval2013.d012.s018.t000 bank%1:14:00::
semeval2013.d012.s018.t001 wind%1:19:01::
semeval2013.d012.s019.t001 regulator%1:18:00::
semeval2013.d012.s019.t003 claim%1:10:02::
semeval2013.d012.s019.t005 misconduct%1:04:00::
semeval2013.d012.s020.t000 wave%1:04:02::
semeval2013.d012.s021.t000 bank%1:14:00::
semeval2013.d012.s022.t002 value%1:21:00::
semeval2013.d012.s023.t000 regulator%1:18:00::
semeval2013.d012.s023.t001 bank%1:14:00::
semeval2013.d012.s024.t000 claim%1:10:02::
semeval2013.d012.s024.t002 claim%1:10:02::
semeval2015.d000.s000.t004 assessment%1:04:00::
semeval2015.d000.s001.t003 product%1:06:00::
semeval2015.d000.s001.t004 human%3:01:01::
semeval2015.d000.s001.t009 reach%2:38:06:: reach%2:41:00::
semeval2015.d000.s001.t012 medicine%1:06:00::
semeval2015.d000.s002.t000 need%2:34:01:: need%2:34:00::
semeval2015.d000.s002.t002 information%1:14:00:: information%1:09:00::
semeval2015.d000.s002.t003 medical%3:00:00::
semeval2015.d000.s002.t004 condition%1:26:05::
semeval2015.d000.s002.t008 leaflet%1:10:00::
semeval2015.d000.s003.t002 information%1:14:00:: information%1:09:00::
semeval2015.d000.s005.t003 infusion%1:04:00::
semeval2015.d000.s005.t004 drip%2:35:10::
semeval2015.d000.s006.t001 active%3:00:07::
semeval2015.d000.s006.t002 substance%1:03:01:: substance%1:27:00::
semeval2015.d000.s008.t001 treat%2:29:00::
semeval2015.d000.s008.t011 exposure%1:04:01:: exposure%1:26:01::
semeval2015.d000.s009.t003 medicine%1:06:00::
semeval2015.d000.s009.t006 surgery%1:04:01::
semeval2015.d000.s009.t007 alone%5:00:00:exclusive:00
semeval2015.d000.s009.t009 spread%2:35:07::
semeval2015.d000.s009.t011 spread%2:35:07::
semeval2015.d000.s009.t018 receive%2:39:03::
semeval2015.d000.s009.t020 medicine%1:06:00::
semeval2015.d000.s009.t022 advanced%5:00:00:late:02
semeval2015.d000.s009.t024 cell%1:03:00::
semeval2015.d000.s009.t027 affect%2:29:00::
semeval2015.d000.s010.t004 treat%2:29:00::
semeval2015.d000.s010.t006 receive%2:39:03::
semeval2015.d000.s011.t000 medicine%1:06:00::
semeval2015.d000.s011.t001 only%4:02:03::
semeval2015.d000.s011.t003 prescription%1:10:01::
semeval2015.d000.s013.t000 only%4:02:03::
semeval2015.d000.s013.t001 give%2:40:13::
semeval2015.d000.s014.t008 height%1:07:01::
semeval2015.d000.s015.t000 give%2:40:13::
semeval2015.d000.s015.t002 every%5:00:02:all:00
semeval2015.d000.s015.t005 infusion%1:04:00::
semeval2015.d000.s016.t003 take%2:34:00::
semeval2015.d000.s016.t008 injection%1:04:01:: injection%1:27:00::
semeval2015.d000.s017.t000 give%2:40:13::
semeval2015.d000.s017.t001 medicine%1:06:00::
semeval2015.d000.s017.t006 dehydration%1:26:01::
semeval2015.d000.s017.t008 give%2:40:13::
semeval2015.d000.s018.t008 have%2:29:05:: have%2:29:02::
semeval2015.d000.s019.t005 severe%5:00:01:bad:00
semeval2015.d000.s020.t001 information%1:14:00:: information%1:09:00::
semeval2015.d000.s020.t002 see%2:39:13::
semeval2015.d000.s020.t004 product%1:06:00::
semeval2015.d000.s022.t000 active%3:00:07::
semeval2015.d000.s022.t001 substance%1:03:01:: substance%1:27:00::
semeval2015.d000.s022.t003 medicine%1:06:00::
semeval2015.d000.s022.t004 medicine%1:06:00::
semeval2015.d000.s022.t006 cell%1:03:00::
semeval2015.d000.s022.t007 divide%2:35:00:: divide%2:38:00::
semeval2015.d000.s023.t001 convert%2:30:03:: convert%2:30:04::
semeval2015.d000.s023.t003 form%1:07:03::
semeval2015.d000.s023.t004 block%2:41:01::
semeval2015.d000.s023.t005 activity%1:22:00:: activity%1:22:01::
semeval2015.d000.s023.t007 involve%2:42:04::
semeval2015.d000.s023.t013 genetic%3:01:02::
semeval2015.d000.s023.t015 cell%1:03:00::
semeval2015.d000.s025.t009 receive%2:39:03::
semeval2015.d000.s026.t000 effect%1:26:00::
semeval2015.d000.s027.t001 cell%1:03:00::
semeval2015.d000.s027.t003 effect%1:26:00::
semeval2015.d000.s027.t006 medicine%1:06:00::
semeval2015.d000.s027.t008 involve%2:42:04::
semeval2015.d000.s027.t010 locally%4:02:01::
semeval2015.d000.s027.t011 advanced%5:00:00:late:02
semeval2015.d000.s027.t014 receive%2:39:03::
semeval2015.d000.s028.t003 medicine%1:06:00::
semeval2015.d000.s028.t006 involve%2:42:04::
semeval2015.d000.s028.t009 receive%2:39:03::
semeval2015.d000.s029.t002 measure%1:04:00::
semeval2015.d000.s030.t000 benefit%1:07:00::
semeval2015.d000.s030.t001 show%2:31:00:: show%2:36:00::
semeval2015.d000.s031.t000 increase%2:30:02::
semeval2015.d000.s031.t002 time%1:28:00::
semeval2015.d000.s032.t001 receive%2:39:03::
semeval2015.d000.s032.t003 average%1:09:01::
semeval2015.d000.s032.t004 month%1:28:00::
semeval2015.d000.s032.t006 month%1:28:00::
semeval2015.d000.s032.t007 alone%4:02:01::
semeval2015.d000.s033.t002 cell%1:03:00::
semeval2015.d000.s034.t001 receive%2:39:03::
semeval2015.d000.s034.t006 time%1:28:00::
semeval2015.d000.s034.t007 month%1:28:00::
semeval2015.d000.s034.t009 month%1:28:00::
semeval2015.d000.s035.t002 receive%2:39:03::
semeval2015.d000.s035.t007 time%1:28:00::
semeval2015.d000.s035.t008 month%1:28:00::
semeval2015.d000.s036.t000 however%4:02:04::
semeval2015.d000.s036.t005 affect%2:29:00::
semeval2015.d000.s036.t007 have%2:29:05:: have%2:42:00::
semeval2015.d000.s036.t010 time%1:28:00::
semeval2015.d000.s037.t003 affect%2:29:00::
semeval2015.d000.s037.t005 have%2:29:05:: have%2:42:00::
semeval2015.d000.s037.t008 time%1:28:00::
semeval2015.d001.s000.t002 markup%1:10:00::
semeval2015.d001.s001.t002 make%2:36:12::
semeval2015.d001.s001.t003 simple%5:00:00:easy:01
semeval2015.d001.s001.t004 operation%1:04:01::
semeval2015.d001.s001.t006 3d%1:09:00::
semeval2015.d001.s002.t000 actually%4:02:02:: actually%4:02:00::
semeval2015.d001.s004.t001 orient%2:30:00::
semeval2015.d001.s004.t002 now%4:02:04::
semeval2015.d001.s005.t002 window%1:06:03::
semeval2015.d001.s006.t001 window%1:06:03::
semeval2015.d001.s007.t001 window%1:06:03::
semeval2015.d001.s007.t002 consist%2:42:01::
semeval2015.d001.s007.t003 console%1:06:02::
semeval2015.d001.s007.t005 3d%1:09:00::
semeval2015.d001.s008.t001 find%2:39:02::
semeval2015.d001.s008.t002 input%1:06:00::
semeval2015.d001.s008.t003 field%1:14:03::
semeval2015.d001.s008.t006 do%2:41:04:: do%2:36:01::
semeval2015.d001.s009.t002 work%2:35:02::
semeval2015.d001.s009.t004 thing%1:04:00::
semeval2015.d001.s009.t005 do%2:41:04:: do%2:36:01::
semeval2015.d001.s009.t007 input%1:06:00::
semeval2015.d001.s009.t008 convert%2:30:03:: convert%2:30:02::
semeval2015.d001.s011.t001 closely%4:02:02::
semeval2015.d001.s011.t002 look%2:42:02::
semeval2015.d001.s012.t000 addition%1:04:01::
semeval2015.d001.s012.t002 multiplication%1:04:00::
semeval2015.d001.s012.t003 division%1:04:01::
semeval2015.d001.s013.t000 power%1:10:00::
semeval2015.d001.s015.t000 power%1:10:00::
semeval2015.d001.s015.t001 way%1:04:01::
semeval2015.d001.s015.t002 make%2:36:12::
semeval2015.d001.s015.t003 root%1:23:00::
semeval2015.d001.s015.t004 too%4:02:01::
semeval2015.d001.s016.t001 specify%2:32:02::
semeval2015.d001.s016.t003 variable%1:10:00::
semeval2015.d001.s017.t001 specify%2:31:02:: specify%2:32:02::
semeval2015.d001.s018.t001 find%2:39:02:: find%2:32:00::
semeval2015.d001.s018.t003 check%2:32:10::
semeval2015.d001.s019.t000 treat%2:31:00::
semeval2015.d001.s019.t003 treat%2:31:00::
semeval2015.d001.s020.t001 define%2:32:01::
semeval2015.d001.s021.t000 condition%1:10:01::
semeval2015.d001.s022.t001 define%2:32:01::
semeval2015.d001.s022.t002 conditional%3:00:00::
semeval2015.d001.s022.t003 operation%1:04:01::
semeval2015.d001.s023.t000 introduce%2:35:00::
semeval2015.d001.s023.t001 condition%1:10:01::
semeval2015.d001.s023.t003 condition%1:10:01::
semeval2015.d001.s023.t006 find%2:39:02::
semeval2015.d001.s023.t007 condition%1:10:01::
semeval2015.d001.s023.t009 last%3:00:00:: last%5:00:00:ultimate:00
semeval2015.d001.s025.t001 define%2:32:01:: define%2:42:01::
semeval2015.d001.s027.t000 now%4:02:04:: now%4:02:02::
semeval2015.d001.s027.t001 ask%2:32:04::
semeval2015.d001.s028.t001 operate%2:35:00::
semeval2015.d001.s028.t004 sin%1:24:00::
semeval2015.d001.s028.t008 sum%1:09:01:: sum%1:14:00::
semeval2015.d001.s028.t009 product%1:09:00::
semeval2015.d001.s030.t001 plus%1:04:00::
semeval2015.d001.s030.t002 times%1:04:00::
semeval2015.d001.s032.t003 variable%1:10:00::
semeval2015.d001.s033.t000 see%2:39:03::
semeval2015.d001.s033.t005 way%1:04:01::
semeval2015.d001.s033.t007 log%1:10:02::
semeval2015.d001.s034.t001 enter%2:35:03:: enter%2:32:04::
semeval2015.d001.s034.t002 expression%1:10:03::
semeval2015.d001.s034.t003 variable%1:10:00::
semeval2015.d001.s034.t007 result%1:11:00::
semeval2015.d001.s035.t001 window%1:06:03::
semeval2015.d001.s036.t000 log%1:10:02::
semeval2015.d001.s037.t000 load%2:40:12::
semeval2015.d001.s038.t000 execute%2:36:01:: execute%2:36:00::
semeval2015.d001.s038.t001 instruction%1:10:02::
semeval2015.d001.s039.t002 define%2:32:01:: define%2:42:01::
semeval2015.d001.s039.t003 library%1:14:01::
semeval2015.d001.s040.t000 save%2:32:04::
semeval2015.d001.s041.t000 save%2:32:04::
semeval2015.d001.s041.t001 instruction%1:10:02::
semeval2015.d001.s041.t003 begin%2:42:02::
semeval2015.d001.s042.t005 text_editor%1:10:00::
semeval2015.d001.s043.t000 save%2:32:04::
semeval2015.d001.s043.t001 log%1:10:02::
semeval2015.d001.s044.t000 save%2:32:04::
semeval2015.d001.s044.t001 log%1:10:02::
semeval2015.d001.s044.t002 result%1:11:00::
semeval2015.d001.s044.t005 print%2:36:00::
semeval2015.d001.s044.t006 publish%2:32:00::
semeval2015.d001.s046.t000 program%1:10:02::
semeval2015.d001.s046.t001 down%4:02:04::
semeval2015.d001.s047.t003 do%2:41:04:: do%2:36:01::
semeval2015.d001.s048.t002 input%1:06:00::
semeval2015.d001.s048.t004 box%1:25:00::
semeval2015.d001.s049.t002 typical%5:00:00:normal:01
semeval2015.d001.s049.t005 specify%2:31:02:: specify%2:32:02::
semeval2015.d001.s050.t000 enter%2:35:03:: enter%2:32:04::
semeval2015.d001.s050.t006 window%1:06:03::
semeval2015.d001.s051.t004 view%1:07:01::
semeval2015.d001.s052.t004 mode%1:26:00::
semeval2015.d002.s000.t000 foundation%1:14:00::
semeval2015.d002.s000.t002 involve%2:42:04::
semeval2015.d002.s000.t003 organise%2:41:00::
semeval2015.d002.s000.t005 deal%2:41:13:: deal%2:41:09::
semeval2015.d002.s000.t006 critical%5:00:00:crucial:00 critical%3:00:03::
semeval2015.d002.s001.t008 actor%1:18:01::
semeval2015.d002.s001.t011 authority%1:18:01:: authority%1:18:00:: authority%1:14:00::
semeval2015.d002.s002.t003 report%2:32:01::
semeval2015.d002.s002.t005 involve%2:42:04::
semeval2015.d002.s002.t011 provision%1:04:01::
semeval2015.d002.s002.t012 find%2:39:02:: find%2:32:00::
semeval2015.d002.s002.t014 common%5:00:00:familiar:02
semeval2015.d002.s003.t002 variety%1:07:00::
semeval2015.d002.s003.t003 different%3:00:02:: different%5:00:01:other:00
semeval2015.d002.s003.t005 play%2:41:12::
semeval2015.d002.s003.t006 public%5:00:00:common:02
semeval2015.d002.s004.t000 foundation%1:14:00::
semeval2015.d002.s004.t004 ministry%1:14:00::
semeval2015.d002.s004.t006 affairs%1:04:00::
semeval2015.d002.s004.t007 regional%5:00:00:territorial:00
semeval2015.d002.s004.t015 public%5:00:00:common:02
semeval2015.d002.s005.t000 foundation%1:14:00::
semeval2015.d002.s005.t004 study%1:10:00::
semeval2015.d002.s005.t005 part%1:09:00::
semeval2015.d002.s005.t006 project%1:09:00::
semeval2015.d002.s005.t009 direct%5:00:00:immediate:00
semeval2015.d002.s005.t012 work%1:04:01::
semeval2015.d002.s005.t013 increase%2:30:02::
semeval2015.d002.s006.t002 personal%5:00:00:subjective:00
semeval2015.d002.s006.t009 level%1:26:01::
semeval2015.d002.s007.t002 sector%1:14:00::
semeval2015.d002.s007.t004 industry%1:04:00::
semeval2015.d002.s007.t006 sector%1:14:00::
semeval2015.d002.s008.t005 right%1:15:00::
semeval2015.d002.s008.t006 employment%1:04:02:: employment%1:04:00::
semeval2015.d002.s008.t013 high%5:00:00:superior:01
semeval2015.d002.s009.t004 portfolio%1:14:00::
semeval2015.d002.s009.t005 initiative%1:04:00::
semeval2015.d002.s009.t006 present%2:32:00::
semeval2015.d002.s009.t015 work%1:04:01::
semeval2015.d002.s010.t001 initiative%1:04:00::
semeval2015.d002.s010.t004 depth%1:07:01:: depth%1:07:02::
semeval2015.d002.s011.t002 background%1:26:00:: background%1:09:01::
semeval2015.d002.s011.t003 initiative%1:04:00::
semeval2015.d002.s011.t004 impact%1:19:00:: impact%1:04:00::
semeval2015.d002.s011.t005 employment%1:04:02::
semeval2015.d002.s011.t006 pattern%1:09:01:: pattern%1:04:00::
semeval2015.d002.s011.t010 benefit%1:07:00::
semeval2015.d002.s011.t012 initiative%1:04:00::
semeval2015.d002.s012.t000 visit%1:04:01::
semeval2015.d002.s013.t002 form%2:42:00::
semeval2015.d002.s013.t003 basis%1:24:01::
semeval2015.d002.s014.t002 initiative%1:04:00::
semeval2015.d002.s014.t004 provide%2:34:00::
semeval2015.d002.s014.t006 stage%2:36:01::
semeval2015.d002.s015.t000 foundation%1:14:00::
semeval2015.d002.s015.t001 aim%2:31:01::
semeval2015.d002.s015.t005 barrier%1:09:00::
semeval2015.d002.s016.t004 particular%5:00:00:uncommon:00
semeval2015.d002.s016.t006 pay%2:32:00:: pay%2:31:00::
semeval2015.d002.s016.t010 barrier%1:09:00::
semeval2015.d002.s017.t001 project%1:09:00::
semeval2015.d002.s017.t003 initiative%1:04:00::
semeval2015.d002.s017.t005 private%5:00:00:personal:00
semeval2015.d002.s017.t006 sector%1:14:00::
semeval2015.d002.s017.t008 barrier%1:09:00::
semeval2015.d002.s018.t000 seek%2:35:00::
semeval2015.d002.s018.t004 redundancy%1:07:00::
semeval2015.d002.s018.t005 project%1:09:00::
semeval2015.d002.s019.t000 gender%1:07:00::
semeval2015.d002.s020.t000 project%1:09:00::
semeval2015.d002.s020.t002 consider%2:32:02:: consider%2:39:00:: consider%2:31:01::
semeval2015.d002.s020.t003 initiative%1:04:00::
semeval2015.d002.s020.t007 small%5:00:00:limited:00
semeval2015.d002.s020.t008 enterprise%1:14:00::
semeval2015.d002.s021.t000 member%1:14:00::
semeval2015.d002.s021.t001 state%1:14:00::
semeval2015.d002.s021.t002 cover%2:42:02::
semeval2015.d002.s021.t003 project%1:09:00::
semeval2015.d002.s021.t005 kingdom%1:15:01:: kingdom%1:14:01::
semeval2015.d003.s001.t003 product%1:06:00::
semeval2015.d003.s001.t009 reach%2:38:06::
semeval2015.d003.s001.t012 medicine%1:06:00::
semeval2015.d003.s003.t001 active%3:00:07::
semeval2015.d003.s003.t004 tablet%1:06:00::
semeval2015.d003.s003.t006 injection%1:04:01::
semeval2015.d003.s004.t000 tablet%1:06:00::
