semeval2007.d000.s002.t001 statement%1:10:06::
semeval2015.d002.s009.t000 case_study%1:10:00:: case_study%1:04:00::
semeval2015.d002.s009.t004 portfolio%1:14:00::
semeval2015.d002.s010.t005 case_study%1:10:00:: case_study%1:04:00::
semeval2015.d002.s011.t000 case_study%1:10:00:: case_study%1:04:00::
semeval2015.d002.s011.t008 organisation%1:14:01::
semeval2015.d002.s013.t003 basis%1:24:01::
semeval2015.d002.s014.t001 casebook%1:10:00::
semeval2015.d002.s017.t000 thirdly%4:02:00::
semeval2015.d002.s017.t005 private%5:00:00:personal:00
semeval2015.d002.s018.t009 reintegrate%2:30:00::
semeval2015.d002.s018.t010 retrain%2:31:00:: retrain%2:31:01::
semeval2015.d002.s019.t000 gender%1:07:00::
semeval2015.d002.s021.t000 member%1:14:00::
semeval2015.d003.s001.t002 medicinal%5:00:00:healthful:00
semeval2015.d003.s001.t004 veterinary%1:18:00::
semeval2015.d003.s003.t004 tablet%1:06:00::
semeval2015.d003.s003.t006 injection%1:04:01::
semeval2015.d003.s004.t000 tablet%1:06:00::
semeval2015.d003.s004.t002 score%1:25:00::
semeval2015.d003.s004.t006 halve%2:31:00::
semeval2015.d003.s005.t000 tablet%1:06:00::
semeval2015.d003.s005.t001 mark%2:35:01::
semeval2015.d003.s005.t002 logo%1:10:00::
semeval2015.d003.s007.t000 antiemetic%1:06:00::
semeval2015.d003.s008.t006 chemotherapy%1:04:00::
semeval2015.d003.s009.t012 injection%1:04:01::
semeval2015.d003.s009.t013 injection%1:04:01::
semeval2015.d003.s009.t015 tablet%1:06:00::
semeval2015.d003.s012.t001 receptor%1:08:01::
semeval2015.d003.s016.t005 placebo%1:06:00::
semeval2015.d003.s016.t014 placebo%1:06:00::
semeval2015.d003.s017.t003 start%2:41:04::
semeval2015.d003.s017.t004 injection%1:04:01::
semeval2015.d003.s017.t009 tablet%1:06:00::
semeval2015.d003.s017.t011 tablet%1:06:00::
semeval2015.d003.s018.t000 follow-up%1:04:01:: follow-up%1:04:00::
semeval2015.d003.s018.t004 tablet%1:06:00::
semeval2015.d003.s019.t004 together_with%4:02:00::
semeval2015.d003.s021.t002 tolerate%2:39:00::
semeval2015.d003.s021.t005 dosage%1:06:00::
senseval2.d000.s000.t001 change_ringing%1:04:00::
senseval2.d000.s000.t007 unintelligible%5:00:00:incomprehensible:00
senseval2.d000.s001.t000 tailor%1:18:00::
senseval2.d000.s003.t001 evoke%2:32:01::
senseval2.d000.s003.t015 faithful%1:14:00::
senseval2.d000.s003.t016 evensong%1:10:00::
senseval2.d000.s005.t004 rhythmically%4:02:00::
senseval2.d000.s006.t001 discordant%3:00:00::
senseval2.d000.s006.t006 peal%1:11:00::
senseval2.d000.s007.t009 ringer%1:18:02::
senseval2.d000.s008.t003 ringer%1:18:02::
senseval2.d000.s010.t002 ringer%1:18:02::
senseval2.d000.s010.t004 octogenarian%1:18:00::
senseval2.d000.s011.t003 scrape%2:35:03::
senseval2.d000.s012.t003 disco%1:06:00::
senseval2.d000.s012.t004 dance%1:11:00::
senseval2.d000.s013.t002 flightiness%1:07:00::
senseval2.d000.s013.t005 rank%1:14:02::
senseval2.d000.s013.t009 peal%2:39:00::
senseval2.d000.s014.t001 side%1:10:00::
senseval2.d000.s015.t000 nationwide%5:00:00:comprehensive:00
senseval2.d000.s017.t006 carillon%1:04:00::
senseval2.d000.s017.t008 europe%1:14:01::
senseval2.d000.s018.t000 change_ringing%1:04:00::
senseval2.d000.s018.t001 mind-boggling%5:00:00:impressive:00
senseval2.d000.s018.t008 dexterity%1:09:00::
senseval2.d000.s018.t016 concentration%1:07:01::
senseval2.d000.s019.t009 scale%1:10:00::
senseval2.d000.s020.t001 signal%1:16:00::
senseval2.d000.s020.t002 ringer%1:18:02::
senseval2.d000.s020.t011 striking%1:04:00::
senseval2.d000.s021.t005 rule%1:10:02::
senseval2.d000.s022.t000 ringer%1:18:02::
senseval2.d000.s022.t004 know%2:31:11::
senseval2.d000.s024.t006 give%2:32:08::
senseval2.d000.s025.t000 ringer%1:18:02::
senseval2.d000.s025.t002 circle%1:25:01::
senseval2.d000.s025.t005 prizefighter%1:18:01::
senseval2.d000.s026.t001 snake%2:38:00::
senseval2.d000.s026.t008 muffle%2:39:00::
senseval2.d000.s027.t001 absorb%2:31:03::
senseval2.d000.s027.t002 ringer%1:18:02::
senseval2.d000.s027.t007 peripheral_vision%1:09:00::
senseval2.d000.s028.t002 belfry%1:06:00::
senseval2.d000.s028.t008 swing%2:38:03::
senseval2.d000.s028.t009 madly%4:02:00::
senseval2.d000.s029.t001 ringer%1:18:02::
senseval2.d000.s029.t005 retard%2:30:01::
senseval2.d000.s029.t006 swing%1:04:06::
senseval2.d000.s030.t011 mathematical%5:00:00:exact:00
senseval2.d000.s031.t000 ringer%1:18:02::
senseval2.d000.s031.t003 solemn%5:00:01:serious:00
senseval2.d000.s031.t007 faultlessly%4:02:00::
senseval2.d000.s032.t002 obsession%1:09:00::
senseval2.d000.s032.t009 ringer%1:18:02::
senseval2.d000.s033.t002 stay%2:42:04::
senseval2.d000.s034.t002 ringer%1:18:02::
senseval2.d000.s034.t005 stick_on%2:35:00::
senseval2.d000.s035.t004 ringer%1:18:02::
senseval2.d000.s035.t006 skip%2:38:02::
senseval2.d000.s035.t008 pub%1:06:00::
senseval2.d000.s037.t004 strong-willed%5:00:00:stubborn:00
senseval2.d000.s037.t005 vicar%1:18:01::
senseval2.d000.s037.t008 strong-willed%5:00:00:stubborn:00
senseval2.d000.s037.t010 ringer%1:18:02::
senseval2.d000.s038.t002 vicar%1:18:01::
senseval2.d000.s038.t005 ringer%1:18:02::
senseval2.d000.s038.t008 sack%2:41:00::
senseval2.d000.s038.t011 ringer%1:18:02::
senseval2.d000.s038.t014 picket_line%1:14:00::
senseval2.d000.s039.t001 treat%2:31:00::
senseval2.d000.s039.t003 sort%1:07:00::
senseval2.d000.s040.t000 new%5:00:00:other:00
senseval2.d000.s041.t002 ringer%1:18:02::
senseval2.d000.s042.t004 dustup%1:10:00::
senseval2.d000.s043.t000 vicar%1:18:01::
senseval2.d000.s044.t000 vicar%1:18:01::
senseval2.d000.s044.t004 fault%1:07:01::
senseval2.d000.s044.t006 bell_tower%1:06:00::
senseval2.d000.s044.t009 altar%1:06:01::
senseval2.d000.s045.t000 so%4:02:09::
senseval2.d000.s045.t009 ringer%1:18:02::
senseval2.d000.s045.t014 exit%1:04:00::
senseval2.d000.s046.t004 vicar%1:18:01::
senseval2.d000.s046.t006 bell_ringer%1:18:01::
senseval2.d000.s047.t002 draw%2:35:06::
senseval2.d000.s048.t002 ringer%1:18:02::
senseval2.d000.s048.t003 draw%2:35:06::
senseval2.d000.s049.t000 sort%1:07:00::
senseval2.d000.s049.t006 vicar%1:18:01::
senseval2.d000.s050.t004 college%1:14:01::
senseval2.d000.s050.t006 bell_ringing%1:04:00::
senseval2.d000.s050.t009 booklet%1:10:00::
senseval2.d000.s050.t010 vicar%1:18:01::
senseval2.d000.s051.t001 mr%1:10:00::
senseval2.d000.s052.t000 mr%1:10:00::
senseval2.d000.s052.t006 ringer%1:18:02::
senseval2.d000.s053.t003 bell_ringer%1:18:01::
senseval2.d000.s054.t001 ringer%1:18:02::
senseval2.d000.s055.t004 ringer%1:18:02::
senseval2.d000.s055.t009 mr%1:10:00::
senseval2.d000.s056.t006 ringer%1:18:02::
senseval2.d000.s057.t000 bright%5:00:00:auspicious:00
senseval2.d000.s057.t010 ringer%1:18:02::
senseval2.d000.s059.t000 bell_ringing%1:04:00::
senseval2.d000.s059.t007 galling%5:00:00:disagreeable:00
senseval2.d000.s059.t011 ringer%1:18:02::
senseval2.d000.s059.t014 prestigious%5:00:00:reputable:00
senseval2.d000.s060.t003 equal_opportunity%1:07:00::
senseval2.d000.s060.t007 surface%2:30:00::
senseval2.d000.s060.t011 weekly%5:00:00:periodic:00
senseval2.d000.s060.t013 ringer%1:18:02::
senseval2.d000.s061.t003 red-blooded%5:00:00:healthy:00
senseval2.d000.s061.t006 remark%2:32:01::
senseval2.d000.s061.t015 make%2:36:07::
senseval2.d000.s062.t000 torrent%1:23:00::
senseval2.d000.s062.t004 ringer%1:18:02::
senseval2.d000.s062.t007 male%5:00:02:masculine:01
senseval2.d000.s062.t008 ringer%1:18:02::
senseval2.d000.s062.t015 decorate%2:42:00::
senseval2.d000.s062.t016 acne%1:26:00::
senseval2.d000.s062.t019 unwashed%5:00:00:dirty:01
senseval2.d000.s062.t020 unbearably%4:02:00::
senseval2.d000.s062.t021 flatulent%5:00:00:unhealthy:00
senseval2.d000.s063.t008 belfry%1:06:00::
senseval2.d001.s000.t004 gene%1:08:00::
senseval2.d001.s001.t003 gene%1:08:00::
senseval2.d001.s002.t002 gene%1:08:00::
senseval2.d001.s002.t005 array%1:10:00::
senseval2.d001.s004.t007 gene%1:08:00::
senseval2.d001.s005.t006 gene%1:08:00::
senseval2.d001.s005.t007 pivotal%5:00:00:crucial:00
senseval2.d001.s006.t000 only%4:02:05::
senseval2.d001.s007.t004 gene%1:08:00::
senseval2.d001.s008.t004 gene%1:08:00::
senseval2.d001.s008.t006 anticancer%3:01:00::
senseval2.d001.s008.t007 gene%1:08:00::
senseval2.d001.s010.t000 gene%1:08:00::
senseval2.d001.s010.t015 malignant%3:00:02::
senseval2.d001.s011.t002 gene%1:08:00::
senseval2.d001.s011.t005 gene%1:08:00::
senseval2.d001.s011.t006 discover%2:31:03::
senseval2.d001.s011.t009 oncogene%1:08:00::
senseval2.d001.s012.t000 oncogene%1:08:00::
senseval2.d001.s012.t004 malignant%3:00:02::
senseval2.d001.s012.t008 cancerous%5:00:00:malignant:02
senseval2.d001.s012.t011 oncogene%1:08:00::
senseval2.d001.s013.t007 gene%1:08:00::
senseval2.d001.s013.t009 in_concert%4:02:00::
senseval2.d001.s013.t010 oncogene%1:08:00::
senseval2.d001.s013.t011 turn%2:42:13::
senseval2.d001.s013.t012 proliferate%2:30:01::
senseval2.d001.s013.t014 malignant%3:00:02::
senseval2.d001.s013.t016 gene%1:08:00::
senseval2.d001.s014.t000 gene%1:08:00::
senseval2.d001.s014.t001 gene%1:08:00::
senseval2.d001.s014.t002 inherit%2:40:01::
senseval2.d001.s015.t010 impaired%3:00:00::
senseval2.d001.s016.t002 defective%5:00:00:malfunctioning:00
senseval2.d001.s016.t004 suppressor_gene%1:08:00::
senseval2.d001.s017.t000 emerging%5:00:00:nascent:00
senseval2.d001.s017.t001 genetic%3:01:00::
senseval2.d001.s019.t007 chance%1:07:00::
senseval2.d001.s019.t009 retinoblastoma%1:26:00::
senseval2.d001.s019.t012 occur%2:42:03::
senseval2.d001.s020.t001 carry%2:42:13::
senseval2.d001.s020.t002 damaged%3:00:00::
senseval2.d001.s020.t003 gene%1:08:00::
senseval2.d001.s020.t010 suffer%2:39:02::
senseval2.d001.s021.t001 retinoblastoma%1:26:00::
senseval2.d001.s021.t002 gene%1:08:00::
senseval2.d001.s022.t003 genetic%3:01:02:: genetic%3:01:00::
senseval2.d001.s022.t006 inherit%2:40:01::
senseval2.d001.s022.t007 damaged%3:00:00::
senseval2.d001.s022.t008 retinoblastoma%1:26:00::
senseval2.d001.s022.t009 suppressor_gene%1:08:00::
senseval2.d001.s023.t000 make%2:30:10::
senseval2.d001.s023.t001 new_year%1:28:00::
senseval2.d001.s025.t004 gene%1:08:00::
senseval2.d001.s025.t018 explode%2:30:02::
senseval2.d001.s028.t000 to_date%4:02:00::
senseval2.d001.s029.t001 retinoblastoma%1:26:00::
senseval2.d001.s030.t006 gene%1:08:00::
senseval2.d001.s030.t009 turn%2:42:13::
senseval2.d001.s030.t013 cancerous%5:00:00:malignant:02
senseval2.d001.s031.t007 damaged%3:00:00::
senseval2.d001.s031.t008 gene%1:08:00::
senseval2.d001.s032.t010 kill%2:35:02::
senseval2.d001.s033.t008 race%2:41:03::
senseval2.d001.s033.t010 gene%1:08:00::
senseval2.d001.s035.t002 gene%1:08:00::
senseval2.d001.s035.t006 crucial%5:00:00:important:00
senseval2.d001.s035.t009 scourge%1:26:00::
senseval2.d001.s035.t014 prostate%1:08:00::
senseval2.d001.s035.t015 cervix%1:08:02::
senseval2.d001.s036.t002 inherit%2:40:01::
senseval2.d001.s036.t003 defective%5:00:00:malfunctioning:00
senseval2.d001.s036.t005 gene%1:08:00::
senseval2.d001.s037.t001 gene%1:08:00::
senseval2.d001.s037.t003 1970s%1:28:00::
senseval2.d001.s037.t004 pediatrician%1:18:00::
senseval2.d001.s037.t007 retinoblastoma%1:26:00::
senseval2.d001.s038.t004 inherit%2:40:01::
senseval2.d001.s038.t005 damaged%3:00:00::
senseval2.d001.s038.t007 gene%1:08:00::
senseval2.d001.s041.t006 gene%1:08:00::
senseval2.d001.s041.t010 chromosome%1:08:00::
senseval2.d001.s041.t013 gene%1:08:00::
senseval2.d001.s042.t001 gross%5:00:00:visible:00
senseval2.d001.s042.t002 chromosome%1:08:00::
senseval2.d001.s043.t004 inherit%2:40:01::
senseval2.d001.s043.t005 damaged%3:00:00::
senseval2.d001.s043.t007 chromosome%1:08:00::
senseval2.d001.s044.t004 chromosome%1:08:00::
senseval2.d001.s045.t004 gene%1:08:00::
senseval2.d001.s045.t005 gene%1:08:00::
senseval2.d001.s046.t001 gene%1:08:00::
senseval2.d001.s046.t002 gene%1:08:00::
senseval2.d001.s048.t005 gene%1:08:00::
senseval2.d001.s048.t006 snippet%1:06:00::
senseval2.d001.s048.t007 genetic%3:01:02::
senseval2.d001.s048.t010 gene%1:08:00::
senseval2.d001.s049.t009 chromosome%1:08:00::
senseval2.d001.s049.t014 chromosome%1:08:00::
senseval2.d001.s051.t006 gene%1:08:00::
senseval2.d001.s051.t008 eruption%1:26:02::
senseval2.d001.s052.t000 extraordinarily%4:02:00::
senseval2.d001.s052.t001 satisfying%5:00:00:wholesome:00
senseval2.d001.s053.t001 retinoblastoma%1:26:00::
senseval2.d001.s054.t000 audacious%5:00:00:adventurous:00
senseval2.d001.s056.t004 chromosome%1:08:00::
senseval2.d001.s057.t008 killer%1:26:00::
senseval2.d001.s058.t007 suppressor_gene%1:08:00::
senseval2.d001.s059.t003 polyp%1:26:00::
senseval2.d001.s059.t004 bowel%1:08:00::
senseval2.d001.s059.t008 malignant%3:00:02::
senseval2.d001.s059.t011 progress%2:30:01::
senseval2.d001.s059.t015 genetic%3:01:02::
senseval2.d001.s060.t000 doctoral%3:01:00::
senseval2.d001.s060.t008 chromosome%1:08:00::
senseval2.d001.s060.t011 genetic%3:01:02::
senseval2.d001.s061.t003 genetic%3:01:02::
senseval2.d001.s061.t006 polyp%1:26:00::
senseval2.d001.s061.t007 malignant%3:00:02::
senseval2.d001.s061.t010 polyp%1:26:00::
senseval2.d001.s061.t011 malignant%3:00:02::
senseval2.d001.s063.t002 gene%1:08:00::
senseval2.d001.s063.t004 polyp%1:26:00::
senseval2.d001.s064.t002 gene%1:08:00::
senseval2.d001.s064.t004 delete%2:35:00::
senseval2.d001.s064.t005 polyp%1:26:00::
senseval2.d001.s064.t006 progress%2:30:01::
senseval2.d001.s065.t002 gene%1:08:00::
senseval2.d001.s066.t001 galvanize%2:37:00::
senseval2.d001.s067.t003 gene%1:08:00::
senseval2.d001.s068.t001 nail%2:40:00::
senseval2.d001.s068.t003 gene%1:08:00::
senseval2.d001.s068.t005 flip%2:30:00::
senseval2.d001.s068.t008 full-blown%5:00:00:complete:00
senseval2.d001.s069.t001 chromosome%1:08:00::
senseval2.d001.s070.t003 gene%1:08:00::
senseval2.d001.s070.t006 length%1:06:00::
senseval2.d001.s070.t007 chromosome%1:08:00::
senseval2.d001.s070.t011 genetic%3:01:02::
senseval2.d001.s071.t001 dna%1:27:00::
senseval2.d001.s071.t004 gene%1:08:00::
senseval2.d001.s072.t003 dubious%5:00:00:unconvinced:00
senseval2.d001.s073.t010 gene%1:08:00::
senseval2.d001.s073.t015 cancerous%5:00:00:malignant:02
senseval2.d001.s075.t001 gene%1:08:00::
senseval2.d001.s075.t008 gene%1:08:00::
senseval2.d001.s075.t009 suppress%2:30:12::
senseval2.d001.s076.t002 gene%1:08:00::
senseval2.d001.s076.t007 gene%1:08:00::
senseval2.d001.s076.t013 unknowingly%4:02:00::
senseval2.d001.s076.t015 damaged%3:00:00::
senseval2.d001.s076.t017 gene%1:08:00::
senseval2.d001.s077.t003 obscure%5:00:00:inglorious:00
senseval2.d001.s077.t004 gene%1:08:00::
senseval2.d001.s077.t007 formation%1:22:00::
senseval2.d001.s078.t003 suppressor_gene%1:08:00::
senseval2.d001.s079.t005 chromosome%1:08:00::
senseval2.d001.s079.t006 mutate%2:30:00::
senseval2.d001.s079.t008 gene%1:08:00::
senseval2.d001.s080.t010 gene%1:08:00::
senseval2.d001.s080.t011 inherit%2:40:01::
senseval2.d001.s080.t012 damaged%3:00:00::
senseval2.d001.s081.t000 gene%1:08:00::
senseval2.d001.s081.t002 implicate%2:42:01::
senseval2.d001.s082.t013 gene%1:08:00::
senseval2.d001.s083.t006 gene%1:08:00::
senseval2.d001.s084.t004 gene%1:08:00::
senseval2.d001.s085.t002 chromosome%1:08:00::
senseval2.d001.s086.t003 gene%1:08:00::
senseval2.d001.s086.t009 chromosome%1:08:00::
senseval2.d001.s087.t002 inherit%2:40:01::
senseval2.d001.s087.t003 defective%5:00:00:malfunctioning:00
senseval2.d001.s087.t004 gene%1:08:00::
senseval2.d001.s087.t007 chromosome%1:08:00::
senseval2.d001.s088.t002 retinoblastoma%1:26:00::
senseval2.d001.s088.t003 suppressor_gene%1:08:00::
senseval2.d001.s090.t006 gene%1:08:00::
senseval2.d001.s090.t007 hunter%1:18:01::
senseval2.d001.s090.t008 turn%2:42:13::
senseval2.d001.s091.t013 gene%1:08:00::
senseval2.d001.s092.t007 damaged%3:00:00::
senseval2.d001.s092.t008 gene%1:08:00::
senseval2.d001.s093.t002 defective%5:00:00:malfunctioning:00
senseval2.d001.s093.t003 gene%1:08:00::
senseval2.d002.s003.t005 relinquish%2:40:00::
senseval2.d002.s003.t007 metaphysical%5:00:00:theoretical:00
senseval2.d002.s006.t000 ask%2:42:00::
senseval2.d002.s009.t003 self-expression%1:10:00::
senseval2.d002.s010.t006 incompetence%1:07:00::
senseval2.d002.s011.t004 romantic%5:00:00:impractical:00
senseval2.d002.s011.t005 rebellion%1:04:01::
senseval2.d002.s011.t009 authoritarian%5:00:00:domineering:00
senseval2.d002.s011.t010 repression%1:04:00::
senseval2.d002.s011.t017 undefined%3:00:00::
senseval2.d002.s011.t019 inherent%5:00:00:implicit:00
senseval2.d002.s012.t003 romantic%5:00:00:impractical:00
senseval2.d002.s013.t006 decent%5:00:00:sufficient:00
senseval2.d002.s014.t004 illiteracy%1:09:00::
senseval2.d002.s016.t004 every_inch%4:02:00::
senseval2.d002.s018.t007 agreeable%3:00:00::
senseval2.d002.s021.t003 college%1:14:01::
senseval2.d002.s021.t006 schoolteacher%1:18:00::
senseval2.d002.s023.t001 dump%2:38:00::
senseval2.d002.s024.t002 schoolteacher%1:18:00::
senseval2.d002.s029.t004 family_doctor%1:18:00::
senseval2.d002.s030.t002 family_doctor%1:18:00::
senseval2.d002.s033.t001 equity%1:07:00::
senseval2.d002.s034.t000 silly%5:00:00:undignified:00
senseval2.d002.s034.t001 libel%1:10:00::
senseval2.d002.s035.t001 libel%1:10:00::
senseval2.d002.s036.t002 libel%1:10:00::
senseval2.d002.s036.t007 strike%2:38:08::
senseval2.d002.s036.t009 posture%1:09:00::
senseval2.d002.s036.t011 important%5:00:00:influential:00
senseval2.d002.s036.t012 constituency%1:14:00::
senseval2.d002.s037.t006 differential%1:07:00::
senseval2.d002.s037.t009 differential%1:07:00::
senseval2.d002.s041.t004 know%2:31:12::
senseval2.d002.s041.t009 beforehand%4:02:00::
senseval2.d002.s043.t006 eloquently%4:02:00:: eloquently%4:02:01::
senseval2.d002.s046.t000 comprehensive%5:00:00:inclusive:00
senseval2.d002.s046.t004 seem%2:39:02::
senseval2.d002.s048.t001 childcare%1:04:00::
senseval2.d002.s049.t004 schooling%1:09:00::
senseval2.d002.s050.t007 parental%3:00:00::
senseval2.d002.s053.t001 kid%1:18:01::
senseval2.d002.s053.t003 truant%5:00:00:absent:00
senseval2.d002.s053.t010 homework%1:04:00::
senseval2.d002.s053.t012 report_card%1:10:00::
senseval2.d002.s054.t002 option%1:09:00::
senseval2.d002.s057.t011 demagogic%3:01:00::
senseval2.d002.s057.t014 would-be%5:00:00:ambitious:00
senseval2.d002.s058.t004 governance%1:04:00::
senseval2.d002.s061.t015 reason%1:10:00::
senseval2.d002.s062.t004 top-heavy%5:00:00:unstable:00
senseval2.d002.s062.t007 pile%2:35:03::
senseval2.d002.s063.t007 sharply%4:02:03::
senseval2.d002.s065.t004 allow%2:42:07::
senseval2.d002.s067.t005 gifted%3:00:00::
senseval2.d002.s067.t011 gifted%3:00:00::
senseval2.d002.s067.t015 enter%2:30:10::
senseval2.d002.s068.t002 undemocratic%3:00:00::
senseval2.d002.s071.t003 textbook%1:10:00::
senseval2.d002.s072.t001 modish%5:00:00:fashionable:00
senseval2.d002.s072.t002 trendy%5:00:00:fashionable:00
senseval2.d002.s072.t005 silly%5:00:00:undignified:00
senseval2.d002.s074.t014 textbook%1:10:00::
senseval2.d002.s077.t011 head%1:18:01::
senseval2.d002.s078.t004 accountability%1:07:00::
senseval2.d002.s079.t009 performance%1:04:03::
senseval3.d000.s001.t002 bleary%5:00:00:indistinct:00
senseval3.d000.s002.t002 answer%1:04:00::
senseval3.d000.s002.t006 coughing%1:26:00::
senseval3.d000.s004.t000 newfound%5:00:00:new:00
senseval3.d000.s005.t001 rocker%1:06:01::
senseval3.d000.s005.t002 think%2:31:12::
senseval3.d000.s009.t002 tie%2:41:01::
senseval3.d000.s011.t000 blur%2:30:00::
senseval3.d000.s012.t007 light%1:10:00::
senseval3.d000.s012.t009 moving_van%1:06:00::
senseval3.d000.s012.t010 roar%2:38:00::
senseval3.d000.s013.t001 howl%2:32:01::
senseval3.d000.s013.t002 horn%1:06:05::
senseval3.d000.s013.t003 blare%2:39:00::
senseval3.d000.s014.t001 involuntary%3:00:02::
senseval3.d000.s014.t004 on_the_spur_of_the_moment%4:02:00::
senseval3.d000.s018.t004 ruin%2:41:00::
senseval3.d000.s018.t005 safe%5:00:00:sound:00
senseval3.d000.s019.t004 truck_driver%1:18:00::
senseval3.d000.s023.t000 sort%1:07:00::
senseval3.d000.s023.t002 call%2:40:05::
senseval3.d000.s023.t003 bluff%1:04:00::
senseval3.d000.s024.t000 light%1:10:00::
senseval3.d000.s027.t003 in_return%4:02:00::
senseval3.d000.s027.t007 good%5:00:00:discriminating:00
senseval3.d000.s029.t002 screwball%1:18:00::
senseval3.d000.s030.t004 uneasy%5:00:00:uncomfortable:01
senseval3.d000.s031.t001 coughing%1:26:00::
senseval3.d000.s032.t001 weak%5:00:00:perceptible:00
senseval3.d000.s035.t001 crease%1:25:01::
senseval3.d000.s041.t001 somebody%1:03:00::
senseval3.d000.s046.t003 exit%1:04:00::
senseval3.d000.s055.t001 address%1:10:02::
senseval3.d000.s065.t002 break%1:04:02::
senseval3.d000.s066.t004 slip%1:04:03::
senseval3.d000.s066.t007 relieve%2:37:00::
senseval3.d000.s068.t004 hit_the_sack%2:29:00::
senseval3.d000.s070.t003 weirdy%1:18:00::
senseval3.d000.s071.t004 surly%5:00:00:ill-natured:00
senseval3.d000.s075.t002 monthly%5:00:00:periodic:00
senseval3.d000.s075.t005 maintenance%1:21:01::
senseval3.d000.s076.t003 startle%2:38:00::
senseval3.d000.s076.t005 front%1:15:03::
senseval3.d000.s078.t002 foreboding%5:00:00:prophetic:00
senseval3.d000.s082.t002 fall%1:11:00::
senseval3.d000.s082.t003 sickening%5:00:00:unwholesome:00
senseval3.d000.s084.t004 slowness%1:07:00::
senseval3.d000.s090.t002 lousy%5:00:00:nasty:00
senseval3.d000.s092.t000 say%2:32:13::
senseval3.d000.s097.t000 tight%5:00:00:intoxicated:00
senseval3.d000.s099.t008 lush%1:18:00::
senseval3.d000.s100.t001 weekly%5:00:00:periodic:00
senseval3.d000.s100.t004 pet%1:18:00::
senseval3.d000.s105.t002 hairy%5:00:00:alarming:00
senseval3.d000.s106.t001 bloodshot%5:00:00:unhealthy:00
senseval3.d000.s106.t008 secret%5:00:03:covert:00
senseval3.d000.s108.t001 uncanny%5:00:00:extraordinary:00
senseval3.d000.s110.t007 crossing%1:06:01::
senseval3.d000.s111.t001 creep%1:18:00::
senseval3.d000.s114.t003 offhand%5:00:00:careless:00
senseval3.d000.s115.t003 moody%5:00:00:ill-natured:00
senseval3.d000.s118.t001 sulk%2:42:00::
senseval3.d000.s118.t005 appreciation%1:10:00::
senseval3.d000.s119.t002 silence%1:26:00::
senseval3.d000.s120.t012 bright%5:00:00:reverberant:00 bright%5:00:00:happy:00
senseval3.d000.s122.t000 pay%2:40:14::
senseval3.d000.s125.t000 bitch%1:18:00::
senseval3.d000.s127.t000 community_property%1:21:00::
senseval3.d000.s135.t002 job%1:04:02::
senseval3.d000.s138.t004 clouded%5:00:00:confused:00
senseval3.d000.s141.t000 nut%1:18:02::
senseval3.d000.s143.t001 cunning%5:00:00:artful:00
senseval3.d000.s151.t001 hook%2:32:09::
senseval3.d000.s156.t001 prove%2:41:03::
senseval3.d001.s000.t000 rout%1:11:00::
senseval3.d001.s000.t002 hopeful%1:18:00::
senseval3.d001.s000.t010 level%1:09:00::
senseval3.d001.s000.t014 half-century%1:28:00::
senseval3.d001.s004.t003 half-century%1:28:00::
senseval3.d001.s004.t011 vote%1:09:00::
senseval3.d001.s004.t016 vote%1:09:00::
senseval3.d001.s006.t000 account%2:42:01::
senseval3.d001.s007.t006 split_personality%1:26:00::
senseval3.d001.s007.t009 voting_booth%1:06:00::
senseval3.d001.s009.t009 minimalist%5:00:00:moderate:00
senseval3.d001.s009.t016 action%1:04:04::
senseval3.d001.s009.t026 attendant%5:00:00:subsequent:00
senseval3.d001.s010.t010 action%1:04:04::
senseval3.d001.s010.t012 roll_call%1:04:00::
senseval3.d001.s010.t017 confer%2:40:00::
senseval3.d001.s010.t023 constituency%1:14:00::
senseval3.d001.s010.t025 pork_barrel%1:21:00::
senseval3.d001.s011.t004 minimalist%5:00:00:moderate:00
senseval3.d001.s013.t013 constituency%1:14:00::
senseval3.d001.s016.t015 bring_home%2:40:00::
senseval3.d001.s019.t002 peculiar%5:00:00:characteristic:00
senseval3.d001.s019.t005 half-century%1:28:00::
senseval3.d001.s020.t003 disdain%1:12:00::
senseval3.d001.s020.t023 constituency%1:14:00::
senseval3.d001.s022.t004 incumbent%1:18:00::
senseval3.d001.s022.t006 immune%5:00:00:exempt:00
senseval3.d001.s024.t003 partisan%3:00:00::
senseval3.d001.s027.t012 slate%1:10:02::
senseval3.d001.s029.t008 translate%2:42:03::
senseval3.d001.s029.t013 constituency%1:14:00::
senseval3.d001.s031.t007 chamber%1:14:00::
senseval3.d001.s036.t008 roll_call%1:04:00::
senseval3.d001.s040.t006 change_hands%2:40:00::
senseval3.d001.s041.t000 additional%5:00:03:additive:00
senseval3.d001.s041.t007 incumbency%1:04:00::
senseval3.d001.s041.t022 positive%5:00:00:plus:00
senseval3.d001.s041.t024 onerous%5:00:00:heavy:02
senseval3.d001.s041.t029 progressive%3:00:02::
senseval3.d001.s041.t030 tax_rate%1:21:00::
senseval3.d001.s043.t003 peculiar%5:00:00:characteristic:00
senseval3.d001.s044.t003 line%1:09:00::
senseval3.d001.s045.t000 econometric%3:01:00::
senseval3.d001.s045.t011 vote%1:09:00::
senseval3.d001.s045.t020 positive%5:00:00:plus:00
senseval3.d001.s045.t023 tax_rate%1:21:00::
senseval3.d001.s046.t007 behavior%1:04:01::
senseval3.d001.s046.t010 voting_booth%1:06:00::
